id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,place,sentiment,emotion
ChdDSUhNMG9nS0VJQ0FnSURLME1PTF93RRAB,,2 小時前,2021-04-27 14:46:56.164563,4.0,June Huang,18,0,https://www.google.com/maps/contrib/104993244066394838585/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChdDSUhNMG9nS0VJQ0FnSURLa092V2tRRRAB,讚,10 小時前,2021-04-27 14:46:56.165175,5.0,金貝貝,13,0,https://www.google.com/maps/contrib/106121207203271758747/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 1, 'sentences': 1, 'pos': 0, 'neg': 0}","{'words': 1, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChZDSUhNMG9nS0VJQ0FnSURLa05Qdk1REAE,好吃服務態度好,11 小時前,2021-04-27 14:46:56.166140,5.0,林小雨,8,0,https://www.google.com/maps/contrib/101474776537285782520/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 3, 'sentences': 1, 'pos': 1, 'neg': 0}","{'words': 3, 'sentences': 1, '好': 1, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChdDSUhNMG9nS0VJQ0FnSUNLXzkzUnJ3RRAB,服務好 氣氛佳~,1 天前,2021-04-27 14:46:56.166732,5.0,HSU EVA,4,0,https://www.google.com/maps/contrib/103980554534715839067/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 6, 'sentences': 1, 'pos': 1, 'neg': 0}","{'words': 6, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChdDSUhNMG9nS0VJQ0FnSUNLXzczeHhRRRAB,,1 天前,2021-04-27 14:46:56.167351,5.0,王雅清,0,0,https://www.google.com/maps/contrib/112064292546374659292/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChZDSUhNMG9nS0VJQ0FnSUNLXzczdVJBEAE,,1 天前,2021-04-27 14:46:56.167952,5.0,Jimmy Wang,14,0,https://www.google.com/maps/contrib/116867823163992292104/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChZDSUhNMG9nS0VJQ0FnSUNLXzcyTVlREAE,,1 天前,2021-04-27 14:46:56.168592,5.0,Ian Y,0,0,https://www.google.com/maps/contrib/103735623020537604060/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChZDSUhNMG9nS0VJQ0FnSUNLXzkzM05nEAE,,1 天前,2021-04-27 14:46:56.169151,5.0,Jasper Wu,35,0,https://www.google.com/maps/contrib/105160834772742500028/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChdDSUhNMG9nS0VJQ0FnSUNLXzkyWG5RRRAB,,1 天前,2021-04-27 14:46:56.169790,5.0,PO-YU LIN,0,0,https://www.google.com/maps/contrib/107527539982098334718/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChZDSUhNMG9nS0VJQ0FnSUNLXzkzN1d3EAE,,1 天前,2021-04-27 14:46:56.170398,5.0,Yi Chun Hsueh,2,0,https://www.google.com/maps/contrib/115204792927105528210/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChdDSUhNMG9nS0VJQ0FnSUNLXzkybHBBRRAB,,1 天前,2021-04-27 14:46:56.170923,5.0,wiwi Wang,1,0,https://www.google.com/maps/contrib/106329455123030765869/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChdDSUhNMG9nS0VJQ0FnSUNLXzkzRzRnRRAB,,1 天前,2021-04-27 14:46:56.171448,5.0,CHIA-WEI WU,3,0,https://www.google.com/maps/contrib/108007758215860917205/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChdDSUhNMG9nS0VJQ0FnSUNLXzkyaXVRRRAB,,1 天前,2021-04-27 14:46:56.171967,5.0,Yahui Wang,9,0,https://www.google.com/maps/contrib/101484203857399229066/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChdDSUhNMG9nS0VJQ0FnSUNLXy1xejdnRRAB,,1 天前,2021-04-27 14:46:56.172483,5.0,李婧瑜,1,0,https://www.google.com/maps/contrib/111280719515155783695/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 0, 'sentences': 0, 'pos': 0, 'neg': 0}","{'words': 0, 'sentences': 1, '好': 0, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
ChZDSUhNMG9nS0VJQ0FnSUNLXy1yVElnEAE,(由 Google 提供翻譯) 完美的  (原始評論) Perfect,1 天前,2021-04-27 14:46:56.173009,5.0,劉宇謙,2,0,https://www.google.com/maps/contrib/113507032378654221700/reviews?hl=zh-Hant-TW,王品牛排台北南京東店,"{'words': 19, 'sentences': 1, 'pos': 7, 'neg': 0}","{'words': 19, 'sentences': 1, '好': 1, '哀': 0, '怒': 0, '樂': 0, '懼': 0, '惡': 0, '驚': 0}"
